"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","blood circulation","125/1767","480/18842",0.260416666666667,2.77689351065837,12.6856265407085,5.65221722621016e-27,2.90297876738154e-23,2.90297876738154e-23,"HTR2A/FERMT2/ATP1A2/DMD/SCN4A/MYL7/SCN5A/SERPING1/EMILIN2/KLF2/MAS1/KCNIP2/NOS1/JPH4/CELF2/GSTM2/SCN3A/KLK2/SCN2A/SLIT2/ITGB1BP1/AVPR2/ZEB2/SGK1/SCN2B/UTS2B/CXCL12/PECAM1/TRPC1/LEP/SVEP1/MME/MYL3/ADRA2B/ANK2/PTGS2/CLDN5/PER2/CACNA2D1/ITGA1/MIR27B/CMA1/ACSM3/ADD3/DRD2/JPH2/PDE2A/KAT2B/KCNJ2/SCN7A/NPR2/SPX/AVP/KCNMB2/TAC1/HCN1/SCN3B/ATP1B2/ADRA2A/SGCG/HBB/SCN4B/ADIPOQ/EDN3/BIN1/RGS2/CDH5/AKAP12/ACE2/KCNA5/TRDN/EDN1/CASQ2/DES/TBX18/ACTC1/SLC8A3/ABCC9/KCNJ8/TACR1/HRC/TEK/ADRB3/CLIC2/FXYD1/ACVRL1/C2CD4B/PPARA/ADRB2/BMP6/CPS1/ANGPT1/NPR1/RARRES2/NPR3/KL/ATP2B4/PLN/KCNE1/LPA/RASL10B/EDNRB/OXTR/ITGA9/ADRB1/KLK3/PCSK5/SCN9A/CAV1/HSPB7/GSN/PDE1C/ADRA1A/ADM/MYL2/PPARG/CACNA1G/CTNNA3/CAV3/AVPR1A/CTSG/SCN11A/SGCZ/KCNIP1/FFAR3",125
"GO:0003012","muscle system process","109/1767","477/18842",0.228511530398323,2.43668039375506,10.2238338151511,6.4216203332504e-19,1.6490721015787e-15,1.6490721015787e-15,"MYOC/HTR2A/ATP1A2/DMD/MYH2/SCN4A/MYH11/SCN5A/IGF1/CKMT2/MYOCD/KCNIP2/NOS1/JPH4/GSTM2/KIT/SCN3A/GNAI1/MIR145/SCN2A/NMUR1/SCN2B/KLF15/STAC2/PRKD1/MYOZ2/SGCA/LEP/PPP1R12B/MYL3/ADRA2B/KCNA1/ANK2/CACNA2D1/SORBS2/DRD2/JPH2/MLIP/KCNJ2/SCN7A/SPX/ACTA2/SCN3B/ADRA2A/MYLK/SCN4B/MSTN/EDN3/BIN1/ADGRD1/TMOD2/RGS2/ACE2/FOXO1/KCNA5/TRDN/MYOM2/P2RX6/EDN1/CASQ2/DES/MYH3/ACTC1/SLC8A3/KLF4/PRKCA/KCNJ8/AKAP6/TACR1/KBTBD13/HRC/ADRB3/MYL9/CLIC2/LMOD1/TNNT3/FXYD1/TMOD1/CRYAB/PROK2/FBXO32/PPARA/ADRB2/RYR3/NPR3/ATP2B4/UTRN/SYNM/PLN/PTGER3/KCNE1/CA3/EDNRB/OXTR/SCN9A/CAV1/GSN/NR4A3/ADRA1A/MYL2/PPARG/CACNA1G/CTNNA3/SSPN/CAV3/CNN1/MYH1/SCN11A/KCNIP1",109
"GO:0006936","muscle contraction","91/1767","375/18842",0.242666666666667,2.58762044897189,9.98973658671083,9.50931610364021e-18,1.6279949169432e-14,1.6279949169432e-14,"HTR2A/ATP1A2/DMD/MYH2/SCN4A/MYH11/SCN5A/CKMT2/MYOCD/KCNIP2/NOS1/JPH4/GSTM2/KIT/SCN3A/MIR145/SCN2A/NMUR1/SCN2B/STAC2/PRKD1/SGCA/PPP1R12B/MYL3/ADRA2B/KCNA1/ANK2/CACNA2D1/DRD2/JPH2/KCNJ2/SCN7A/SPX/ACTA2/SCN3B/ADRA2A/MYLK/SCN4B/EDN3/BIN1/ADGRD1/TMOD2/RGS2/ACE2/KCNA5/TRDN/MYOM2/P2RX6/EDN1/CASQ2/DES/MYH3/ACTC1/SLC8A3/KCNJ8/TACR1/KBTBD13/HRC/ADRB3/MYL9/CLIC2/LMOD1/TNNT3/FXYD1/TMOD1/CRYAB/PROK2/ADRB2/RYR3/ATP2B4/UTRN/SYNM/PLN/PTGER3/KCNE1/CA3/EDNRB/OXTR/SCN9A/CAV1/GSN/ADRA1A/MYL2/CACNA1G/CTNNA3/SSPN/CAV3/CNN1/MYH1/SCN11A/KCNIP1",91
"GO:0060047","heart contraction","66/1767","236/18842",0.279661016949153,2.98210123449685,9.85701048577287,1.82021694457394e-16,2.33715855683294e-13,2.33715855683294e-13,"ATP1A2/DMD/SCN4A/MYL7/SCN5A/KCNIP2/NOS1/JPH4/CELF2/GSTM2/SCN3A/SCN2A/SCN2B/TRPC1/MYL3/ANK2/CACNA2D1/DRD2/JPH2/KCNJ2/SCN7A/SPX/TAC1/HCN1/SCN3B/ATP1B2/SGCG/SCN4B/EDN3/BIN1/RGS2/ACE2/KCNA5/TRDN/EDN1/CASQ2/DES/TBX18/ACTC1/SLC8A3/ABCC9/KCNJ8/HRC/ADRB3/CLIC2/FXYD1/ADRB2/ATP2B4/PLN/KCNE1/EDNRB/ADRB1/SCN9A/CAV1/HSPB7/GSN/ADRA1A/ADM/MYL2/CACNA1G/CTNNA3/CAV3/AVPR1A/SCN11A/SGCZ/KCNIP1",66
"GO:0003015","heart process","67/1767","244/18842",0.274590163934426,2.92802935418928,9.7513630669927,2.96933352486632e-16,3.05009939674269e-13,3.05009939674269e-13,"ATP1A2/DMD/YAP1/SCN4A/MYL7/SCN5A/KCNIP2/NOS1/JPH4/CELF2/GSTM2/SCN3A/SCN2A/SCN2B/TRPC1/MYL3/ANK2/CACNA2D1/DRD2/JPH2/KCNJ2/SCN7A/SPX/TAC1/HCN1/SCN3B/ATP1B2/SGCG/SCN4B/EDN3/BIN1/RGS2/ACE2/KCNA5/TRDN/EDN1/CASQ2/DES/TBX18/ACTC1/SLC8A3/ABCC9/KCNJ8/HRC/ADRB3/CLIC2/FXYD1/ADRB2/ATP2B4/PLN/KCNE1/EDNRB/ADRB1/SCN9A/CAV1/HSPB7/GSN/ADRA1A/ADM/MYL2/CACNA1G/CTNNA3/CAV3/AVPR1A/SCN11A/SGCZ/KCNIP1",67
"GO:1903522","regulation of blood circulation","67/1767","257/18842",0.260700389105058,2.77991891993068,9.24220062639533,4.96966001227925e-15,4.25402897051104e-12,4.25402897051104e-12,"HTR2A/ATP1A2/DMD/SCN5A/KCNIP2/NOS1/JPH4/CELF2/GSTM2/AVPR2/SCN2B/TRPC1/LEP/SVEP1/MYL3/ADRA2B/ANK2/PER2/CACNA2D1/ADD3/DRD2/JPH2/KCNJ2/SPX/AVP/KCNMB2/TAC1/HCN1/SCN3B/ATP1B2/ADRA2A/SCN4B/EDN3/BIN1/RGS2/ACE2/KCNA5/TRDN/EDN1/CASQ2/DES/TBX18/SLC8A3/ABCC9/TACR1/HRC/ADRB3/CLIC2/FXYD1/ADRB2/ATP2B4/PLN/KCNE1/EDNRB/OXTR/ITGA9/ADRB1/CAV1/HSPB7/ADRA1A/ADM/MYL2/CACNA1G/CTNNA3/CAV3/AVPR1A/KCNIP1",67
"GO:0006935","chemotaxis","95/1767","443/18842",0.214446952595937,2.28670598800942,8.81604846181797,8.70176820882961e-15,5.58653519006861e-12,5.58653519006861e-12,"NTRK3/MYCBP2/CX3CR1/PTGDR2/SERPIND1/ACKR4/KDR/PTN/CXCL2/DEFB124/IL6/FGF2/F3/PLD1/PLXNA4/MET/KIT/VEGFD/ECSCR/FGF16/ADGRA2/FLRT2/CCL13/SLIT2/ACKR3/EPHA2/C3/NEDD9/CXCL12/CCN3/PRKD1/CX3CL1/PARVA/FGF7/NRP1/SEMA3G/SEMA6A/ROBO3/NOVA2/CCL2/CCL16/SLIT3/SEMA6D/CXCR2/SEMA3D/CCL24/CXCL3/DUSP1/CCN1/ITGA1/PF4V1/SEMA5A/CDH13/EPHB1/ELANE/SEMA3A/ANXA1/HBEGF/PPBP/EGR3/ENPP2/PDGFRA/CCL23/PIK3C2G/CCL14/MSTN/EDN3/CCL21/CH25H/EDN1/SAA1/CMTM5/NR4A1/PF4/FGF8/HGF/IL34/BST1/PROK2/ANGPT1/RARRES2/S1PR1/EDNRB/CCL28/FGF1/NRG1/P2RY12/S100A4/LGR6/ANO6/PDGFA/CTSG/DPP4/PDGFD/JAM3",95
"GO:0042330","taxis","95/1767","443/18842",0.214446952595937,2.28670598800942,8.81604846181797,8.70176820882961e-15,5.58653519006861e-12,5.58653519006861e-12,"NTRK3/MYCBP2/CX3CR1/PTGDR2/SERPIND1/ACKR4/KDR/PTN/CXCL2/DEFB124/IL6/FGF2/F3/PLD1/PLXNA4/MET/KIT/VEGFD/ECSCR/FGF16/ADGRA2/FLRT2/CCL13/SLIT2/ACKR3/EPHA2/C3/NEDD9/CXCL12/CCN3/PRKD1/CX3CL1/PARVA/FGF7/NRP1/SEMA3G/SEMA6A/ROBO3/NOVA2/CCL2/CCL16/SLIT3/SEMA6D/CXCR2/SEMA3D/CCL24/CXCL3/DUSP1/CCN1/ITGA1/PF4V1/SEMA5A/CDH13/EPHB1/ELANE/SEMA3A/ANXA1/HBEGF/PPBP/EGR3/ENPP2/PDGFRA/CCL23/PIK3C2G/CCL14/MSTN/EDN3/CCL21/CH25H/EDN1/SAA1/CMTM5/NR4A1/PF4/FGF8/HGF/IL34/BST1/PROK2/ANGPT1/RARRES2/S1PR1/EDNRB/CCL28/FGF1/NRG1/P2RY12/S100A4/LGR6/ANO6/PDGFA/CTSG/DPP4/PDGFD/JAM3",95
"GO:0003018","vascular process in circulatory system","65/1767","255/18842",0.254901960784314,2.71808870690325,8.88588968446067,4.03412065564665e-14,2.08362567814764e-11,2.08362567814764e-11,"HTR2A/FERMT2/ATP1A2/SLC29A4/SLC16A12/KLF2/MAS1/NOS1/SLC1A3/SLC7A3/ABCG2/SLIT2/ITGB1BP1/AVPR2/ZEB2/UTS2B/PECAM1/LRP1/LEP/SVEP1/CD36/ADRA2B/SLC16A7/CLDN5/PER2/ITGA1/ADD3/PDE2A/KAT2B/SLC22A3/AVP/KCNMB2/ATP1B2/ADRA2A/HBB/EDN3/RGS2/CDH5/AKAP12/ACE2/EDN1/ABCC9/KCNJ8/TACR1/TEK/ADRB3/SLCO1C1/C2CD4B/LEPR/ADRB2/BMP6/CPS1/ANGPT1/NPR1/ATP2B4/EDNRB/ABCB1/OXTR/ITGA9/ADRB1/SLC2A4/CAV1/ADRA1A/ADM/AVPR1A",65
"GO:0042391","regulation of membrane potential","90/1767","419/18842",0.214797136038186,2.29044008898218,8.59319318272807,4.05690357894789e-14,2.08362567814764e-11,2.08362567814764e-11,"MYOC/ATP1A2/DMD/NRXN1/SCN4A/SHANK3/CBLN1/KDR/SCN5A/KCNIP2/NOS1/FHL1/MET/SLC25A27/SCN3A/CHRNA2/SCN2A/SCN2B/ALB/SLC1A7/CD36/KCNH5/KCNA1/ANK2/SLC24A4/GRIA4/CACNA2D1/KCNA4/GABRA2/RELN/DRD2/KCNMB1/RIMS3/KCNJ2/SCN7A/NPR2/GLRA3/KCNMB2/TAC1/HCN1/SCN3B/ATP1B2/SCN4B/GABRA4/KCNH8/BIN1/PID1/KCNA5/KCNA6/TRDN/DCN/KCNC4/P2RX6/HTR3C/EDN1/CASQ2/PRKN/TBX18/SLC8A3/BOK/KCNS1/KCNJ8/AKAP6/TACR1/RGS7BP/NPAS4/SLC17A7/NPY2R/FXYD1/NLGN1/ADRB2/GRIN2B/SLC26A3/PLN/KCNE1/ABCB5/NLGN4X/POPDC1/SCN9A/CAV1/GRIK1/KCNB1/KCNA2/ADRA1A/CACNA1G/CTNNA3/CAV3/MEF2C/SCN11A/KCNIP1",90
