"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071459","protein localization to chromosome, centromeric region","28/2849","37/18842",0.756756756756757,5.00484759944219,10.2916123160549,2.90220310191962e-16,1.59505082481502e-12,1.59505082481502e-12,"H4C11/KNTC1/H2AC8/H2BC11/BUB3/AURKB/RCC2/HASPIN/ZWILCH/TTK/H4C8/CENPA/H4C4/CDK1/H2AC4/H4C2/H4C12/H4C5/H4C1/KNL1/H4C13/H4C3/H4C15/MTBP/H4C6/H4C14/H4C16/H4C9",28
"GO:0061644","protein localization to CENP-A containing chromatin","18/2849","18/18842",1,6.61354861354861,10.056596243869,1.63055287695583e-15,4.48075930587462e-12,4.48075930587462e-12,"H4C11/H2AC8/H2BC11/H4C8/CENPA/H4C4/H2AC4/H4C2/H4C12/H4C5/H4C1/H4C13/H4C3/H4C15/H4C6/H4C14/H4C16/H4C9",18
"GO:0006334","nucleosome assembly","52/2849","113/18842",0.460176991150442,3.04340290180998,9.19536903807077,5.25862370671091e-15,9.63379863069438e-12,9.63379863069438e-12,"H4C11/H1-4/H3C15/H3C7/H3C1/H2AX/H2BC11/H2BC8/ATAD2/H3C3/H2BC3/H3C11/H3C14/H2BC9/H3C12/H2BC21/H3C2/H4C8/H2BC7/H4C4/H2BC4/H1-3/H3C13/MACROH2A1/H1-5/CHAF1B/CHAF1A/H2BC6/H1-1/ASF1B/H3C10/H1-6/H4C2/H4C12/H3C8/H3-4/H4C5/H4C1/H3C6/H2BC15/H2BC10/H4C13/H2BC14/H4C3/H4C15/H4C6/H4C14/H2BC13/HMGB2/H4C16/H4C9/H1-2",52
"GO:0019730","antimicrobial humoral response","71/2849","189/18842",0.375661375661376,2.48445477016906,8.65678750889633,2.76015468675306e-14,3.7924525395987e-11,3.7924525395987e-11,"CCL1/IGHG4/WFDC13/H2BC17/ACOD1/TOR2A/H2BC11/H2BC8/H2BC5/WFDC10B/H2BC3/NPY/CCL7/CXCL10/WFDC10A/CCL11/H2BC9/IGHE/H2BC21/GAPDH/WFDC3/S100A7/CCL25/PRSS2/CST9L/H2BC7/BPIFA1/CCL19/PGLYRP4/S100A9/H2BC4/CAMP/IL36RN/CXCL9/CCL20/CCL5/IGHG1/H2BC12L/LYZ/H2BC6/H2BC12/REG1A/DCD/CST9/CXCL11/IGHG3/CALCA/FGB/CCL17/DEFB126/CXCL13/H2BC19P/HRG/SLC11A1/SEMG2/H2BC26/KRT6A/H2BC15/PRTN3/H2BC10/H2BC14/IGHM/PGLYRP3/HTN1/IGHG2/H2BC18/H2BC13/F2/AZU1/KNG1/WFDC2",71
"GO:0034728","nucleosome organization","55/2849","130/18842",0.423076923076923,2.7980397980398,8.68248622108139,7.14953352159027e-14,7.85876724693202e-11,7.85876724693202e-11,"H4C11/H1-4/HMGA1/NFE2/H3C15/H3C7/H3C1/H2AX/H2BC11/H2BC8/ATAD2/H3C3/H2BC3/H3C11/H3C14/H2BC9/H3C12/H2BC21/H3C2/H4C8/H2BC7/H4C4/H2BC4/H1-3/H3C13/MACROH2A1/H1-5/CHAF1B/CHAF1A/H2BC6/H1-1/ASF1B/H3C10/H1-6/H2AC25/H4C2/H4C12/H3C8/H3-4/H4C5/H4C1/H3C6/H2BC15/H2BC10/H4C13/H2BC14/H4C3/H4C15/H4C6/H4C14/H2BC13/HMGB2/H4C16/H4C9/H1-2",55
"GO:0000280","nuclear division","122/2849","422/18842",0.289099526066351,1.91197376979367,7.99699805987654,2.09686685487948e-13,1.92073003906961e-10,1.92073003906961e-10,"KIF14/RAD51/MAJIN/PSRC1/CENPI/KIF22/TPX2/MYBL1/DLGAP5/H3Y1/KNTC1/KIFC1/CEP85/TEX11/ANLN/DMRT1/MAEL/RAD21/RMI1/DCAF13/KIF4A/BUB3/NUF2/EME1/NCAPG/TDRD12/SPIRE2/TEX14/UBE2C/CDT1/AURKB/SKA1/PRC1/KIF18B/TEX15/SGO1/CENPS/BIRC5/HASPIN/CENPK/RACGAP1/P3H4/RAD54L/ZWILCH/TTK/NCAPG2/ZWINT/KIF23/RCC1/PLK1/CENPA/KASH5/TRIP13/MAD2L1/SKA3/CENPE/PKMYT1/SPC25/H3Y2/NEK2/RAD51AP1/ESPL1/SGO2/KIF11/UBE2S/NDC80/BRIP1/STRA8/EME2/UHRF1/MND1/CDK1/MKI67/BRDT/CDCA2/NCAPH/GEN1/RRS1/SPC24/CDCA8/HORMAD1/MEIOSIN/REC8/CENPF/TUBB8/CDC25C/BUB1B/CENPX/AURKA/CCNB1/FBXO43/ASZ1/TUBG1/SYCE3/EPGN/TEX19/TDRKH/KIF15/TESMIN/KIF4B/ANAPC11/DNMT3L/MISP/KNL1/CHEK1/KNSTRN/KIF2C/PTTG3P/MAPK15/SYCP2/RAD54B/BUB1/KIF18A/HSF2BP/TOP2A/FANCD2/CDC20/BRCA2/SPAG5/PTTG1/REEP4/SMC4",122
"GO:0006959","humoral immune response","91/2849","296/18842",0.307432432432432,2.03321933727339,7.56217083602045,6.13289757524136e-12,4.8152007247895e-09,4.8152007247895e-09,"CCL1/IGHG4/WFDC13/H2BC17/ACOD1/TOR2A/H2BC11/C8G/H2BC8/H2BC5/WFDC10B/H2BC3/NPY/CCL7/SUSD4/FOXJ1/CXCL10/WFDC10A/CCL11/FCMR/CFHR4/MS4A1/H2BC9/CR1L/IGHE/H2BC21/GAPDH/WFDC3/IFNG/S100A7/CCL25/PRSS2/C4B/CST9L/H2BC7/BPIFA1/CCL19/PDCD1/GZMK/PGLYRP4/S100A9/H2BC4/CCR7/CAMP/IL36RN/CXCL9/CCL20/CCL5/IGHG1/COLEC10/C4A/H2BC12L/LYZ/H2BC6/H2BC12/REG1A/DCD/CST9/ZP4/CXCL11/IGHG3/CALCA/FGB/CCL17/DEFB126/CXCL13/H2BC19P/CFB/HRG/IFNB1/SLC11A1/SEMG2/H2BC26/KRT1/KRT6A/H2BC15/PRTN3/H2BC10/H2BC14/IGHM/PGLYRP3/HTN1/CR2/IGHG2/H2BC18/H2BC13/F2/AZU1/TREM1/KNG1/WFDC2",91
"GO:0051321","meiotic cell cycle","87/2849","281/18842",0.309608540925267,2.04761113657911,7.46768193113304,1.17286940891075e-11,8.05761283921685e-09,8.05761283921685e-09,"RAD51/MAJIN/MYBL1/DUSP13B/TEX11/DMRT1/MAEL/RAD21/RMI1/H2AX/DCAF13/BUB3/NUF2/EME1/TDRD12/SPIRE2/TEX14/SKA1/TEX15/SGO1/CENPS/FAM9A/P3H4/RAD54L/TTK/RSPH1/CDC25B/PRR19/ZWINT/SMC1B/KASH5/TRIP13/SKA3/PKMYT1/ASPM/XRCC2/NEK2/BOLL/RAD51AP1/ESPL1/SGO2/TDRD1/NDC80/BRIP1/STRA8/EME2/RAD21L1/MND1/MKI67/BRDT/CDC25A/CDCA2/NCAPH/HORMAD1/MEIOSIN/REC8/ZFP42/TUBB8/CDC25C/CENPX/AURKA/FBXO43/ASZ1/TUBG1/SYCE3/EXO1/TEX19/TDRKH/PIWIL1/TESMIN/ANAPC11/DNMT3L/KNL1/PTTG3P/MAPK15/PSMB3/SYCP2/RAD54B/HSF2BP/TOP2A/FANCD2/HUS1B/CDC20/PIWIL3/BRCA2/PTTG1/SMC4",87
"GO:1903046","meiotic cell cycle process","66/2849","192/18842",0.34375,2.27340733590734,7.4853441847938,2.35154765697849e-11,1.43601176919487e-08,1.43601176919487e-08,"RAD51/MAJIN/MYBL1/TEX11/DMRT1/MAEL/RAD21/RMI1/DCAF13/NUF2/EME1/TDRD12/SPIRE2/TEX14/SKA1/TEX15/SGO1/CENPS/P3H4/RAD54L/TTK/CDC25B/ZWINT/KASH5/TRIP13/SKA3/PKMYT1/RAD51AP1/ESPL1/SGO2/NDC80/BRIP1/STRA8/EME2/MND1/BRDT/CDC25A/NCAPH/HORMAD1/MEIOSIN/REC8/TUBB8/CDC25C/CENPX/AURKA/FBXO43/ASZ1/TUBG1/SYCE3/TEX19/TDRKH/TESMIN/DNMT3L/KNL1/PTTG3P/MAPK15/SYCP2/RAD54B/HSF2BP/TOP2A/FANCD2/HUS1B/CDC20/BRCA2/PTTG1/SMC4",66
"GO:0048285","organelle fission","126/2849","470/18842",0.268085106382979,1.77299388363218,7.16275339079752,2.61577112988256e-11,1.43762781298345e-08,1.43762781298345e-08,"KIF14/RAD51/MAJIN/PSRC1/CENPI/KIF22/TPX2/MYBL1/DLGAP5/H3Y1/KNTC1/KIFC1/CEP85/TEX11/ANLN/DMRT1/MAEL/RAD21/RMI1/DCAF13/KIF4A/BUB3/NUF2/EME1/MTFR2/NCAPG/TDRD12/SPIRE2/TEX14/UBE2C/CDT1/AURKB/SKA1/PRC1/KIF18B/TEX15/MYO19/SGO1/CENPS/BIRC5/HASPIN/CENPK/RACGAP1/P3H4/RAD54L/ZWILCH/TTK/NCAPG2/ZWINT/GDAP1/KIF23/RCC1/PLK1/CENPA/KASH5/TRIP13/MAD2L1/SKA3/CENPE/PKMYT1/SPC25/H3Y2/NEK2/RAD51AP1/ESPL1/SGO2/MTFP1/KIF11/UBE2S/NDC80/BRIP1/STRA8/EME2/UHRF1/MND1/CDK1/MKI67/BRDT/CDCA2/NCAPH/GEN1/RRS1/SPC24/CDCA8/HORMAD1/MEIOSIN/REC8/CENPF/TUBB8/CDC25C/BUB1B/CENPX/AURKA/CCNB1/FBXO43/ASZ1/TUBG1/SYCE3/EPGN/TEX19/TDRKH/KIF15/TESMIN/KIF4B/ANAPC11/DNMT3L/MISP/KNL1/CHEK1/KNSTRN/KIF2C/PTTG3P/MAPK15/SYCP2/RAD54B/BUB1/KIF18A/HSF2BP/TOP2A/FANCD2/CDC20/BRCA2/SPAG5/PTTG1/REEP4/SMC4",126
